id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold
item3dabc1a341,Polyommatus dorylas armenus male     (Lycaenidae),https://www.ebay.com/itm/Polyommatus-dorylas-armenus-male-Lycaenidae/264874599233?hash=item3dabc1a341:g:9AsAAOSwcnJcADwc,https://i.ebayimg.com/thumbs/images/g/9AsAAOSwcnJcADwc/s-l225.jpg,$5.00,Nov-15 13:14,"Voronezh, Russian Federation",maximinus7,https://www.ebay.com/usr/maximinus7?_trksid=p2047675.l2559,Instant,0,1
item23e2e7fd9e,"Lycaenidae Polyommatus dorylas x2 , mounted",https://www.ebay.com/itm/Lycaenidae-Polyommatus-dorylas-x2-mounted/154130709918?hash=item23e2e7fd9e:g:qGwAAOSwra9fgFs0,https://i.ebayimg.com/thumbs/images/g/qGwAAOSwra9fgFs0/s-l225.jpg,$4.93,Oct-19 11:26,"Wilamowice k Oswiecimia, Poland",wildwooods,https://www.ebay.com/usr/wildwooods?_trksid=p2047675.l2559,Auction,3,1
