species,found,URL,count
Athyma gynea,False,https://www.ebay.com/sch/i.html?_sacat=0&_udlo&_udhi&_ftrt=901&_ftrv=1&_sabdlo&_sabdhi&_samilow&_samihi&_sop=12&_dmd=1&_ipg=200&_fosrp=1&_nkw=%22Athyma+gynea%22&rt=nc&LH_PrefLoc=2&_trksid=p2045573.m1684,0
Parathyma cardoni,False,https://www.ebay.com/sch/i.html?_sacat=0&_udlo&_udhi&_ftrt=901&_ftrv=1&_sabdlo&_sabdhi&_samilow&_samihi&_sop=12&_dmd=1&_ipg=200&_fosrp=1&_nkw=%22Parathyma+cardoni%22&rt=nc&LH_PrefLoc=2&_trksid=p2045573.m1684,0
Athyma zoroastres,False,https://www.ebay.com/sch/i.html?_sacat=0&_udlo&_udhi&_ftrt=901&_ftrv=1&_sabdlo&_sabdhi&_samilow&_samihi&_sop=12&_dmd=1&_ipg=200&_fosrp=1&_nkw=%22Athyma+zoroastres%22&rt=nc&LH_PrefLoc=2&_trksid=p2045573.m1684,0
Tacoraea melas,False,https://www.ebay.com/sch/i.html?_sacat=0&_udlo&_udhi&_ftrt=901&_ftrv=1&_sabdlo&_sabdhi&_samilow&_samihi&_sop=12&_dmd=1&_ipg=200&_fosrp=1&_nkw=%22Tacoraea+melas%22&rt=nc&LH_PrefLoc=2&_trksid=p2045573.m1684,0
Tacoraea pseudomelas,False,https://www.ebay.com/sch/i.html?_sacat=0&_udlo&_udhi&_ftrt=901&_ftrv=1&_sabdlo&_sabdhi&_samilow&_samihi&_sop=12&_dmd=1&_ipg=200&_fosrp=1&_nkw=%22Tacoraea+pseudomelas%22&rt=nc&LH_PrefLoc=2&_trksid=p2045573.m1684,0
Tacoraea tayalica,False,https://www.ebay.com/sch/i.html?_sacat=0&_udlo&_udhi&_ftrt=901&_ftrv=1&_sabdlo&_sabdhi&_samilow&_samihi&_sop=12&_dmd=1&_ipg=200&_fosrp=1&_nkw=%22Tacoraea+tayalica%22&rt=nc&LH_PrefLoc=2&_trksid=p2045573.m1684,0
Pantoporia camida,False,https://www.ebay.com/sch/i.html?_sacat=0&_udlo&_udhi&_ftrt=901&_ftrv=1&_sabdlo&_sabdhi&_samilow&_samihi&_sop=12&_dmd=1&_ipg=200&_fosrp=1&_nkw=%22Pantoporia+camida%22&rt=nc&LH_PrefLoc=2&_trksid=p2045573.m1684,0
Pantoporia assa,False,https://www.ebay.com/sch/i.html?_sacat=0&_udlo&_udhi&_ftrt=901&_ftrv=1&_sabdlo&_sabdhi&_samilow&_samihi&_sop=12&_dmd=1&_ipg=200&_fosrp=1&_nkw=%22Pantoporia+assa%22&rt=nc&LH_PrefLoc=2&_trksid=p2045573.m1684,0
Pantoporia ambra,False,https://www.ebay.com/sch/i.html?_sacat=0&_udlo&_udhi&_ftrt=901&_ftrv=1&_sabdlo&_sabdhi&_samilow&_samihi&_sop=12&_dmd=1&_ipg=200&_fosrp=1&_nkw=%22Pantoporia+ambra%22&rt=nc&LH_PrefLoc=2&_trksid=p2045573.m1684,0
Pantoporia cama,False,https://www.ebay.com/sch/i.html?_sacat=0&_udlo&_udhi&_ftrt=901&_ftrv=1&_sabdlo&_sabdhi&_samilow&_samihi&_sop=12&_dmd=1&_ipg=200&_fosrp=1&_nkw=%22Pantoporia+cama%22&rt=nc&LH_PrefLoc=2&_trksid=p2045573.m1684,0
Pantoporia matanga,False,https://www.ebay.com/sch/i.html?_sacat=0&_udlo&_udhi&_ftrt=901&_ftrv=1&_sabdlo&_sabdhi&_samilow&_samihi&_sop=12&_dmd=1&_ipg=200&_fosrp=1&_nkw=%22Pantoporia+matanga%22&rt=nc&LH_PrefLoc=2&_trksid=p2045573.m1684,0
