Species
Nemeobius erica
Nemeobius nana
Hansa devergens
Hansa hydra
Problema morgani
Trioedusa devergens
Hesperia hyboma
Hansa hyboma
Taygetis blanda
Euptychia griseola
Taygetis indecisa
Euptychia obscura
Euptychia eremita
Harjesia obscura
Taygetis vrazi
Harma theobene
CymothoÎ blassi
Cymothoe nebetheo
CymothoÎ dualana
Cymothoe superna
CymothoÎ sordida
Cymothoe lutescens
Cymothoe nigrescens
Cymothoe nigrolutescens
Cymothoe jacksoni
Cymothoe umbrina
Cymothoe theobene
Cymothoe blassi
Cymothoe theobe
Harmilla elegans
Harmilla modesta
Harmilla hawkeri
Harpendyreus aequatorialis
Cyclirius vulcanica
Lycaena aequatorialis
Cyclyrius sharpiae
Cyclyrius vulcanica
Harpendyreus collinsi
Harpendyreus berger
Cyclyrius boma
Harpendyreus boma
Harpendyreus hazelae
Cyclyrius juno
Harpendyreus juno
Catochrysops kisaba
Cyclirius ruandensis
Harpendyreus kisaba
Cyclirius juno
Cyclirius major
Harpendyreus major
Harpendyreus marlieri
Harpendyreus marungensis
Harpendyreus mangalisae
Cyclyrius wollastoni
Cyclirius marungensis
Cyclirius aequatorialis
Cupido meruana
Harpendyreus meruana
Cupido juno
Lycaena noquasa
Harpendyreus noquasa
Lycaena notoba
Harpendyreus notoba
Lycaena notobia
Lycaena tsomo
Harpendyreus tsomo
Hypocysta hecaerge
Harsiesis hecaerge
Harsiesis hygea
HarsiÎsis chalybe
HarsiÎsis jobina
HarsiÎsis nigrita
HarsiÎsis noctula
HarsiÎsis tenebrica
Hypocysta hygea
Hypocista hygea
HarsiÎsis yolanthe
HarsiÎsis pallidifascia
Harsiesis pallidifascia
Hasora anura
Hasora china
Hasora danda
Hasora taiwana
Hasora badra
Hasora lanka
Goniloba badra
Hasora godana
Hasora sankarya
Ismene certhia
Hasora borneensis
Hasora luza
Hasora akshita
Hasora violacea
Papilio celaenus
Thymele lugubris
Hasora celaenus
Hasora chromus
Ismene bilunata
Hasora inermis
Hasora ganapata
Hasora attenuata
Ismene lucescens
Ismene contempta
Papilio alexis
Papilio chromus
Hasora alexis
Hasora discolor
Hasora eira
Hasora mastusia
Ismene splendida
Goniloba discolor
Hasora hurama
Hasora arua
Hasora diana
Hasora kieta
Hasora mola
Hasora vivapama
Hasora postfasciata
Hesperia hurama
Hasora khoda
Ismene buergeri
Hasora coulteri
Hasora dampierensis
Hasora haslia
Hasora latalba
Hasora linda
Hasora minsona
Hasora venesta
Hasora plexa
Hasora avajra
Hasora tantra
Ismene khoda
Hasora leucospila
Hasora spila
Hasora palinda
Ismene leucospila
Hasora matisca
Hasora parnia
Hasora wortha
Hasora hadria
Ismene lizetta
Hasora lizetta
Hasora mavis
Hasora mixta
